,name,state,city,address,lattitude,longitude,Total_Slots,6AM-11AM_Booked_slots,11AM-4PM_Booked_slots,4PM-10PM_Booked_slots,label_6AM_11AM,label_11AM_4PM,label_4PM_10PM
0,Neelkanth Star DC Charging Station,Haryana,Gurugram,"Neelkanth Star Karnal, NH 44, Gharunda, Kutail, Haryana 132114 ",29.6019,76.9803,6,5,2,1,FALSE,TRUE,TRUE
1,Galleria DC Charging Station,Haryana,Gurugram,"DLF Phase IV, Sector 28, Gurugram, Haryana 122022",28.4673,77.0818,5,1,5,3,TRUE,FALSE,TRUE
2,Highway Xpress (Jaipur-Delhi) DC charging station,Rajasthan,Behror,"Jaipur to Delhi Road, Behror Midway, Behror, Rajasthan 301701",27.8751,76.276,10,2,9,8,TRUE,FALSE,TRUE
3,Food Carnival DC Charging Station,Uttar Pradesh,Khatauli,"Fun and Food Carnival, NH 58, Khatauli Bypass, Bhainsi, Uttar Pradesh 251201",29.3105,77.7218,9,6,1,8,TRUE,TRUE,FALSE
4,Food Carnival AC Charging Station,Uttar Pradesh,Khatauli,"NH 58, Khatauli Bypass, Bhainsi, Uttar Pradesh 251201",29.3105,77.7218,4,1,4,4,TRUE,FALSE,FALSE
5,Krishna Hansraj Hotel Una DC charging station ,Himachal Pradesh,Una,"Old Hoshiarpur Rd, Una, Himachal Pradesh 174303",31.4668,76.2568,9,5,1,3,TRUE,TRUE,TRUE
6,SG Jabli DC Charging Station,Himachal Pradesh,Kasauli,"VPO - Jabli, NH-22, Teh, Kasauli, Himachal Pradesh",30.879,76.9948,6,3,2,2,TRUE,TRUE,TRUE
7,SG Jabli  AC Charging Station,Himachal Pradesh,Kasauli,"VPO - Jabli, NH-22, Teh, Kasauli, Himachal Pradesh",30.879,76.9948,7,5,7,1,TRUE,FALSE,TRUE
8,SG Karnal DC Charging Station,Haryana,Karnal,"131 km Milestone, G. T, GT Karnal Rd, near Karna Lake, Karnal, Haryana 132001",29.7379,76.9756,10,5,8,7,TRUE,TRUE,TRUE
9,SG Karnal AC Charging Station,Haryana,Karnal,"131 km Milestone, G. T, GT Karnal Rd, near Karna Lake, Karnal, Haryana 132001",29.7379,76.9756,6,4,1,5,TRUE,TRUE,FALSE
10,Neelkanth Star AC charging  station,Haryana,Karnal,"Neelkanth Star Karnal, NH 44, Gharunda, Kutail, Haryana 132114 ",29.6019,76.9803,6,6,2,1,FALSE,TRUE,TRUE
11,Deep Brothers IOCL AC Charging Station,Haryana,Darbaripur,"Deep Brothers, Palra Road, Darbaripur",28.3861,77.0063,10,2,2,6,TRUE,TRUE,TRUE
12,Synergy Solutions AC Charging Station 2,Maharashtra,Pune,"Synergy Solutions, Shop No 9 , Modak Prasad, 410, Narayan Peth,Pune",18.538,73.8485,10,9,9,3,FALSE,FALSE,TRUE
13,IOCL Rajokri Station,Delhi,New Delhi,"NH 8 Exit 4, Samalka, New Delhi, Delhi 110037",28.5248,77.101,8,6,6,1,TRUE,TRUE,TRUE
14,VEEV A2B Kallar,Tamil Nadu,Mettupalayam,"A2B, Kallar Road, Mettupalayam, Tamil Nadu",11.3217,76.9163,7,1,1,4,TRUE,TRUE,TRUE
15,VEEV Sathya Nursery,Tamil Nadu,Mettupalayam,"Kallar, Mettupalayam, Tamil Nadu",11.33,76.9027,8,7,3,8,FALSE,TRUE,FALSE
16,IOCL Nehru Nagar Station,Delhi,New Delhi,"10-C, Nehru Nagar, Ring Rd, near Lajpat Nagar, New Delhi, Delhi 110065",28.5682,77.2531,6,3,2,3,TRUE,TRUE,TRUE
17,IOCL Mathura Road,Delhi,New Delhi,"No A12, Mathura Rd, near Telephone Exchange, Friends Colony East, New Delhi, Delhi 110025",28.566,77.2664,10,7,6,8,TRUE,TRUE,TRUE
18,IOCL Chahar AC Charging Station,Haryana,Gurugram,"Basai Rd, Vikas Nagar, Sector 9, Gurugram, Haryana 122018",28.456,77.001,4,2,3,1,TRUE,TRUE,TRUE
19,Kothari Enterprises  AC1,Maharashtra,Khopoli,"Kothari Brothers, Laxminagar, Khopoli, Maharashtra 410203",18.7876,73.3475,8,1,2,3,TRUE,TRUE,TRUE
20,Windlass River Valley AC Charging Station,Uttarakhand,Dehradun,"Windlass River Valley, Harrawala/Kuanwala, Haridwar Road, NH-72, Dehradun, Uttarakhand 248005",30.2482,78.0961,7,4,6,3,TRUE,FALSE,TRUE
21,Mindra Polar International AC Station,Gujarat,Ahmedabad,"Rahul Tower, 4,Vraj Vihar -6 B/H, Prernatirth Derasar Rd, Satellite, Ahmedabad, Gujarat 380015",23.0158,72.5178,6,6,3,1,FALSE,TRUE,TRUE
22,Lonavla Wax Museum DC Charging Station,Maharashtra,Lonavla,"69/1 near Lonavla College, opp. neeta volvo, Valvan, Lonavla, Maharashtra 410403 M-9766666469",18.763,73.4252,8,8,2,1,FALSE,TRUE,TRUE
23,Heritage City AC Charging Station,Haryana,Gurugram,"Heritage City 581-600 Flats, Heritage City, Sector 25, Gurugram, Haryana 122022",28.4823,77.0766,5,2,2,1,TRUE,TRUE,TRUE
24,Hotel Fairmont Jaipur AC Station,Rajasthan,Kukas,"Hotel Fairmont Jaipur, Riico, 2, Jaipur Engineering College Rd, Kukas, Rajasthan 302028",27.0307,75.8899,6,4,3,6,TRUE,TRUE,FALSE
25,The Westin Pushkar AC Charger,Rajasthan,Pushkar,"The Westin Pushkar Resort & Spa, Khasra No. 1242 1243, 1196/1726, Village Surajkund, Motisar Rd, Pushkar, Rajasthan 305022",26.4547,74.5046,6,1,2,3,TRUE,TRUE,TRUE
26,WeWork Circle Demo,Haryana,Gurugram,"4th Floor, The Galaxy Hotel, Behind 32nd Milestone Off NH 8, Sector 15, Gurugram, Haryana 122001",28.4632,77.049,5,1,1,1,TRUE,TRUE,TRUE
27,Karma Lakelands AC Charger,Haryana,Gurugram,"Karma Lakeland, NH-8, Sector 80, Gurugram, Haryana 122002",28.3639,76.9607,9,6,9,8,TRUE,FALSE,FALSE
28,Statiq RnD Centre AC Charging Station,Haryana,Gurgaon,"Statiq RnD Centre, Plot 80A, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122017",28.4997,77.0839,6,1,1,1,TRUE,TRUE,TRUE
29,JMD Gardens,Haryana,Gurugram,"Unnamed Road, Sector 33, Gurugram, Haryana 122018",28.4336,77.0349,8,2,4,6,TRUE,TRUE,TRUE
30,Mindra Crispy Culture AC Charging Station,Gujarat,Ahmedabad,"Narayan Nagar Society, Narayan Nagar, Ahmedabad, Gujarat 380007",22.9989,72.5594,7,1,3,1,TRUE,TRUE,TRUE
31,IOCL Dhaula Kuan Charging Station,Delhi,New Delhi,"Ring Rd, opposite Gurudwara, Smriti Vatika, North West Moti Bagh, New Delhi, Delhi 110021",28.5874,77.1713,8,7,7,2,FALSE,FALSE,TRUE
32,Tellus Power DC Charging Station,Maharashtra,Pune,"AH47, Maharashtra 415406",17.0749,74.2227,8,7,4,7,FALSE,TRUE,FALSE
33,RSTV Charging Hub Meerut,Uttar Pradesh,Meerut,"Meerut, Uttar Pradesh 250001",28.9955,77.7057,5,2,3,1,TRUE,TRUE,TRUE
34,Synergy Solutions AC Charging Station 1,Maharashtra,Pune,"office 9. Modak Prasad ,Oppo Rastrabhasha Bhavan",18.5145,73.8489,8,7,7,7,FALSE,FALSE,FALSE
35,Inspacco Circle Station,Maharashtra,Pune,"Shreenath Society, Veerbhadra Nagar, Baner, Pune, Maharashtra 411045",18.5619,73.7718,8,7,8,3,FALSE,FALSE,TRUE
36,Circle Test Station Goa,Goa,Pune,"Isidorio Baptista Rd, Pajifond, Margao, Goa 403601",15.2735,73.959,10,7,9,7,TRUE,FALSE,TRUE
37,Mindra D S Fasteners Charging Station,Gujarat,Pune,"National Highway 27 (8B), Opp. 80 ft. Road End, Opp. K.S. Diesels, Rajkot-360 003, Gujarat, India",22.473,70.895,9,2,4,8,TRUE,TRUE,FALSE
38,HP Mira Bhayandar DC Charging Station,Maharashtra,Mira Bhayandar,"NH-8, Mashachapada, Mira Road, Mira Bhayandar, Maharashtra",19.2747,72.8856,8,3,3,8,TRUE,TRUE,FALSE
39,HP Pitam Pura DC Charging Station,Delhi,New Delhi,"HP PETROL PUMP - AUTO CARE CENTRE PITAM PURA, Pitampura, Delhi, India",28.6962,77.155,9,4,7,9,TRUE,TRUE,FALSE
